{27, 33, 84, 132, 19, 10},
{33, 35, 86, 130, 19, 10},
{39, 37, 88, 128, 18, 10},
{44, 39, 90, 127, 18, 10},
{50, 41, 92, 125, 17, 10},
{55, 42, 94, 124, 17, 10},
{61, 44, 96, 122, 16, 10},
{66, 46, 98, 120, 16, 10},
{72, 48, 100, 119, 15, 10},
{77, 49, 102, 117, 15, 10},
{82, 51, 103, 116, 14, 10},
{85, 52, 105, 115, 14, 10},
{89, 53, 106, 113, 14, 10},
{91, 54, 107, 113, 13, 10},
{92, 54, 107, 113, 13, 10},
{94, 55, 108, 112, 13, 10},
{95, 55, 108, 112, 13, 10},
{97, 56, 109, 111, 13, 10},
{100, 57, 110, 110, 13, 10},
{103, 57, 111, 109, 12, 10},
{105, 58, 112, 109, 12, 10},
{107, 59, 112, 108, 12, 10},
{109, 59, 113, 108, 12, 10},
{110, 60, 113, 107, 12, 10},
{111, 60, 114, 107, 11, 10},
{111, 60, 114, 107, 11, 73},
{90, 90, 90, 90, 90, 10},
{90, 84, 95, 89, 87, 10},
{90, 79, 100, 88, 85, 10},
{90, 74, 105, 87, 82, 10},
{90, 69, 110, 86, 80, 10},
{90, 65, 114, 85, 78, 10},
{90, 61, 118, 85, 76, 10},
{90, 58, 122, 84, 74, 10},
{90, 54, 125, 84, 72, 10},
{90, 51, 128, 83, 71, 10},
{90, 49, 131, 83, 70, 10},
{90, 47, 133, 82, 69, 10},
{90, 44, 135, 82, 68, 10},
{90, 43, 137, 82, 67, 10},
{90, 41, 138, 81, 66, 10},
{90, 40, 140, 81, 66, 10},
{90, 39, 141, 81, 65, 10},
{90, 37, 143, 81, 64, 10},
{90, 35, 145, 80, 63, 10},
{90, 33, 147, 80, 62, 10},
{90, 31, 149, 80, 61, 10},
{90, 29, 151, 79, 60, 10},
{90, 27, 153, 79, 59, 10},
{90, 25, 155, 79, 58, 10},
{90, 23, 157, 78, 57, 10},
{90, 23, 157, 78, 57, 73},
{90, 23, 157, 78, 57, 10},
{91, 26, 158, 77, 60, 10},
{91, 29, 158, 77, 62, 10},
{92, 32, 159, 76, 64, 10},
{93, 35, 159, 75, 67, 10},
{93, 38, 159, 74, 69, 10},
{94, 41, 160, 73, 71, 10},
{94, 44, 160, 72, 74, 10},
{95, 47, 161, 71, 76, 10},
{96, 50, 161, 70, 79, 10},
{97, 54, 162, 69, 82, 10},
{97, 58, 162, 68, 85, 10},
{98, 61, 163, 67, 87, 10},
{99, 68, 164, 65, 93, 10},
{101, 75, 165, 63, 99, 10},
{102, 82, 166, 61, 104, 10},
{104, 90, 167, 59, 110, 10},
{105, 97, 168, 57, 116, 10},
{107, 104, 169, 55, 121, 10},
{108, 109, 169, 53, 125, 10},
{109, 114, 170, 52, 129, 10},
{110, 119, 171, 50, 133, 10},
{111, 123, 171, 49, 136, 10},
{111, 126, 172, 48, 138, 10},
{112, 128, 172, 48, 140, 10},
{112, 130, 172, 47, 142, 10},
{112, 132, 172, 47, 143, 10},
{112, 132, 173, 46, 144, 10},
{113, 133, 173, 46, 144, 10},
{113, 134, 173, 46, 145, 10},
{113, 135, 173, 46, 145, 10},
{113, 135, 173, 46, 145, 73},
{113, 135, 173, 46, 145, 10},
{113, 135, 173, 46, 136, 10},
{113, 135, 173, 46, 127, 10},
{113, 135, 173, 46, 118, 10},
{113, 135, 173, 46, 109, 10},
{113, 135, 173, 46, 100, 10},
{113, 135, 173, 46, 91, 10},
{113, 135, 173, 46, 82, 10},
{113, 135, 173, 46, 73, 10},
{113, 135, 173, 46, 63, 10},
{113, 135, 173, 46, 54, 10},
{113, 135, 173, 46, 45, 10},
{113, 135, 173, 46, 36, 10},
{113, 135, 173, 46, 27, 10},
{113, 135, 173, 46, 18, 10},
{113, 135, 173, 46, 9, 10},
{113, 135, 173, 46, 0, 10},
{113, 135, 173, 46, 0, 73},
{113, 135, 173, 46, 0, 10},
{113, 135, 173, 46, 10, 10},
{113, 135, 173, 46, 21, 10},
{113, 134, 173, 46, 28, 10},
{113, 134, 173, 46, 35, 10},
{113, 134, 173, 46, 42, 10},
{113, 134, 173, 46, 52, 10},
{113, 134, 173, 46, 61, 10},
{113, 134, 173, 46, 80, 10},
{113, 134, 173, 46, 96, 10},
{113, 134, 173, 46, 111, 10},
{113, 134, 173, 46, 124, 10},
{113, 134, 173, 46, 137, 10},
{113, 134, 173, 46, 146, 10},
{113, 134, 173, 46, 156, 10},
{113, 134, 173, 46, 164, 10},
{113, 134, 173, 47, 171, 10},
{113, 134, 173, 47, 174, 10},
{113, 134, 173, 47, 177, 10},
{113, 134, 173, 47, 178, 10},
{113, 134, 173, 47, 179, 10},
{113, 134, 173, 47, 179, 73},
{113, 134, 173, 47, 179, 10},
{113, 134, 173, 47, 170, 10},
{113, 134, 173, 47, 161, 10},
{113, 134, 173, 47, 151, 10},
{113, 134, 173, 47, 142, 10},
{113, 134, 173, 47, 133, 10},
{113, 134, 173, 47, 123, 10},
{113, 134, 173, 47, 114, 10},
{113, 134, 173, 47, 105, 10},
{113, 134, 173, 47, 95, 10},
{113, 134, 173, 47, 86, 10},
{113, 134, 173, 47, 77, 10},
{113, 134, 173, 47, 67, 10},
{113, 134, 173, 47, 58, 10},
{113, 134, 173, 47, 49, 10},
{113, 134, 173, 47, 39, 10},
{113, 134, 173, 47, 30, 10},
{113, 134, 173, 47, 21, 10},
{113, 134, 173, 47, 12, 10},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 2, 73},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 11, 10},
{113, 134, 173, 47, 21, 10},
{113, 134, 173, 47, 30, 10},
{113, 134, 173, 47, 39, 10},
{113, 134, 173, 47, 48, 10},
{113, 134, 173, 47, 58, 10},
{113, 134, 173, 47, 67, 10},
{113, 134, 173, 47, 76, 10},
{113, 134, 173, 47, 85, 10},
{113, 134, 173, 47, 95, 10},
{113, 134, 173, 47, 104, 10},
{113, 134, 173, 47, 113, 10},
{113, 134, 173, 47, 122, 10},
{113, 134, 173, 47, 132, 10},
{113, 134, 173, 47, 141, 10},
{113, 134, 173, 47, 150, 10},
{113, 134, 173, 47, 159, 10},
{113, 134, 173, 47, 169, 10},
{113, 134, 173, 47, 178, 10},
{113, 134, 173, 47, 178, 73},
{113, 134, 173, 47, 178, 10},
{113, 134, 173, 47, 169, 10},
{113, 134, 173, 47, 159, 10},
{113, 134, 173, 47, 150, 10},
{113, 134, 173, 47, 141, 10},
{113, 134, 173, 47, 132, 10},
{113, 134, 173, 47, 122, 10},
{113, 134, 173, 47, 113, 10},
{113, 134, 173, 47, 104, 10},
{113, 134, 173, 47, 95, 10},
{113, 134, 173, 47, 85, 10},
{113, 134, 173, 47, 76, 10},
{113, 134, 173, 47, 67, 10},
{113, 134, 173, 47, 58, 10},
{113, 134, 173, 47, 48, 10},
{113, 134, 173, 47, 39, 10},
{113, 134, 173, 47, 30, 10},
{113, 134, 173, 47, 21, 10},
{113, 134, 173, 47, 11, 10},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 2, 73},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 12, 10},
{113, 134, 173, 47, 22, 10},
{113, 134, 173, 47, 32, 10},
{113, 134, 173, 47, 41, 10},
{113, 134, 173, 47, 51, 10},
{113, 134, 173, 47, 61, 10},
{113, 134, 173, 47, 71, 10},
{113, 134, 173, 47, 81, 10},
{113, 134, 173, 47, 91, 10},
{113, 134, 173, 47, 91, 73},
{90, 90, 90, 90, 90, 10},
{90, 89, 90, 89, 89, 10},
{90, 89, 91, 88, 89, 10},
{91, 88, 93, 86, 89, 10},
{92, 87, 95, 85, 89, 10},
{94, 86, 100, 81, 88, 10},
{96, 84, 104, 78, 87, 10},
{98, 82, 109, 74, 87, 10},
{99, 80, 114, 70, 86, 10},
{101, 79, 117, 67, 85, 10},
{102, 78, 120, 65, 85, 10},
{103, 77, 122, 63, 85, 10},
{104, 76, 124, 61, 84, 10},
